Academic Year,District ID,District,School ID,School,Subject,Student Group,Grade Level,Number Proficient,Percent Proficient (Level 3 or 4),Number Level 4,Percent Level 4,Number Level 3,Percent Level 3,Number Level 2,Percent Level 2,Number Level 1,Percent Level 1,Number of Participants,Participation Rate
2018-2019,2111,Annex SD 29,705,Annex Charter School,English Language Arts,Homeless,Grade 4,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,2111,Annex SD 29,705,Annex Charter School,English Language Arts,Homeless,Grade 5,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,2111,Annex SD 29,705,Annex Charter School,English Language Arts,Homeless,Grade 6,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,2111,Annex SD 29,705,Annex Charter School,English Language Arts,Homeless,Grade 7,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,2111,Annex SD 29,705,Annex Charter School,English Language Arts,Homeless,Grade 8,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,2111,Annex SD 29,705,Annex Charter School,English Language Arts,Military-connected,Grade 3,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,2111,Annex SD 29,705,Annex Charter School,English Language Arts,Military-connected,Grade 4,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,2111,Annex SD 29,705,Annex Charter School,English Language Arts,Military-connected,Grade 5,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,2111,Annex SD 29,705,Annex Charter School,English Language Arts,Military-connected,Grade 6,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,2111,Annex SD 29,705,Annex Charter School,English Language Arts,Military-connected,Grade 7,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,2111,Annex SD 29,705,Annex Charter School,English Language Arts,Military-connected,Grade 8,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,2111,Annex SD 29,705,Annex Charter School,English Language Arts,Total Population (All Students),Grade 3,6,46.2,4,30.8,2,15.4,4,30.8,3,23.1,13,100
2018-2019,2111,Annex SD 29,705,Annex Charter School,English Language Arts,Total Population (All Students),Grade 4,8,66.7,4,33.3,4,33.3,3,25,1,8.3,12,100
2018-2019,2111,Annex SD 29,705,Annex Charter School,English Language Arts,Total Population (All Students),Grade 5,3,25,1,8.3,2,16.7,1,8.3,8,66.7,12,100
2018-2019,2111,Annex SD 29,705,Annex Charter School,English Language Arts,Total Population (All Students),Grade 6,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,2111,Annex SD 29,705,Annex Charter School,English Language Arts,Total Population (All Students),Grade 7,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,2111,Annex SD 29,705,Annex Charter School,English Language Arts,Total Population (All Students),Grade 8,5,41.7,2,16.7,3,25,7,58.3,0,0,12,100
2018-2019,2005,Arlington SD 3,323,Arlington Community Charter School,English Language Arts,Econo. Disadvantaged,Grade 3,8,57.1,5,35.7,3,21.4,3,21.4,3,21.4,14,100
2018-2019,2005,Arlington SD 3,323,Arlington Community Charter School,English Language Arts,Econo. Disadvantaged,Grade 4,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,2005,Arlington SD 3,323,Arlington Community Charter School,English Language Arts,Econo. Disadvantaged,Grade 5,8,57.1,2,14.3,6,42.9,4,28.6,2,14.3,14,100
2018-2019,2005,Arlington SD 3,323,Arlington Community Charter School,English Language Arts,Econo. Disadvantaged,Grade 6,9,56.3,1,6.3,8,50,5,31.3,2,12.5,16,100
